problem_size,AerSimulator_two_qubit_gates,AerSimulator_depth,AerSimulator_num_qubits,ibm_fez_two_qubit_gates,ibm_fez_depth,ibm_fez_num_qubits,ibm_kingston_two_qubit_gates,ibm_kingston_depth,ibm_kingston_num_qubits,ibm_marrakesh_two_qubit_gates,ibm_marrakesh_depth,ibm_marrakesh_num_qubits
4,23,42,8,140,519,8,134,502,8,137,522,8
8,114,139,11,927,3080,14,990,3229,17,975,3165,11
16,407,570,14,5137,16457,16,5094,16604,14,5337,16513,19
32,1326,1735,17,24633,79866,17,25478,82661,25,24782,79869,21
64,3671,4268,20,122758,395486,25,121529,399008,21,121177,392716,21
128,10402,19749,23,552710,1837324,23,551012,1822107,28,555456,1860412,30
