problem_size,AerSimulator_two_qubit_gates,AerSimulator_depth,AerSimulator_num_qubits,ibm_fez_two_qubit_gates,ibm_fez_depth,ibm_fez_num_qubits,ibm_kingston_two_qubit_gates,ibm_kingston_depth,ibm_kingston_num_qubits,ibm_marrakesh_two_qubit_gates,ibm_marrakesh_depth,ibm_marrakesh_num_qubits
4,24,42,8,138,526,8,138,528,8,135,519,8
8,118,139,11,927,3105,11,953,3139,11,945,3126,11
16,418,570,14,4872,15465,14,5283,16927,14,5158,16163,14
32,1352,1735,17,25483,82661,17,25066,80495,17,25704,82275,17
64,3728,4268,20,103332,349811,20,101042,348204,21,105165,353476,24
128,10522,19751,23,469984,1636715,25,476153,1634708,26,471377,1617411,28
